vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_00004,XO2020-1-105,RO_2019_105,Epi11-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI11,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00005,XO2020-1-105,RO_2019_105,Epi11-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI11,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_00006,XO2020-1-106,RO_2019_106,Epi12-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI12,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00007,XO2020-1-106,RO_2019_106,Epi12-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI12,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo7,,
VCE_00009,XO2020-1-108,RO_2019_108,Epi14-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI14,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00010,XO2020-1-108,RO_2019_108,Epi14-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI14,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_00011,XO2020-1-109,RO_2019_109,Epi15-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI15,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00012,XO2020-1-109,RO_2019_109,Epi15-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI15,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo7,,
VCE_00014,XO2020-1-112,RO_2019_112,Epi18-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI18,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00015,XO2020-1-112,RO_2019_112,Epi18-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI18,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_00016,XO2020-1-113,RO_2019_113,Epi19-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI19,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00017,XO2020-1-113,RO_2019_113,Epi19-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI19,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_00020,XO2020-1-120,RO_2019_120,Epi26-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI26,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
VCE_00021,XO2020-1-120,RO_2019_120,Epi26-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI26,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo9,,
VCE_00022,XO2020-1-121,RO_2019_121,Epi27-NSIC Rc216,Los Banos,Laguna,Philippines,2019.0,NSIC Rc216,Ripening,EPI27,International Rice Research Institute,Leaf,XO2020-1,Lin_2,AXoo5,,
