vCode,databaseCode,sampleCode,isolateName,district,province,country,year,riceVarSource,riceGrowthStage,percDiseasedLeaf,institute,sampleType,runCode,lineage,AxooPopn,latitude,longitude
VCE_02897,Xo2021-2-726,China,cix 2928,Yunnan,Yunnan,China,2007.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_1,AXoo1,25.0,102.0
VCE_02898,Xo2021-2-726,China,cix 2928,Yunnan,Yunnan,China,2007.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo5,25.0,102.0
VCE_02899,Xo2021-2-726,China,cix 2928,Yunnan,Yunnan,China,2007.0,,,,Institut de Recherche pour le D?©veloppement,DNA,XO2021-2,Lin_2,AXoo7,25.0,102.0
VCE_00909,XO2020-2-472,VXO_11,VXO_11,Gia Lam,Ha Noi City,Vietnam,2013.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_1,AXoo1,21.0283334,105.854041
VCE_00910,XO2020-2-473,VXO_15,VXO_15,Gia Lam,Ha Noi City,Vietnam,2013.0,,,,Agricultural Genetics Institute,DNA,XO2020-2,Lin_3,AXoo12,21.0283334,105.854041
VCE_00087,XO2020-1-203,RO_2019_203,BB 144,Ein Mal,Ayeyarwady Region,Myanmar,2015.0,Manawthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo8,16.8340079,95.1804705
VCE_00140,XO2020-1-243,RO_2019_243,BB 127,Lat Puttar,Ayeyarwady Region,Myanmar,2015.0,Kauk Kyi,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,16.8340079,95.1804705
VCE_00144,XO2020-1-246,RO_2019_246,BB 134,Kang Gyi Daunt,Ayeyarwady Region,Myanmar,2015.0,Shwe Thwe Yin,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo7,16.8340079,95.1804705
VCE_00178,XO2020-1-275,RO_2019_275,BB 119,Nyaung don,Ayeyarwady Region,Myanmar,2015.0,Yatanar -1,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo6,16.8340079,95.1804705
VCE_00179,XO2020-1-275,RO_2019_275,BB 119,Nyaung don,Ayeyarwady Region,Myanmar,2015.0,Yatanar -1,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo7,16.8340079,95.1804705
VCE_00183,XO2020-1-279,RO_2019_279,BB 126,Pyar pon,Ayeyarwady Region,Myanmar,2015.0,Paw San,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,16.8340079,95.1804705
VCE_00068,XO2020-1-189,RO_2019_189,BB 89,Dait Oo,Bago Region,Myanmar,2015.0,Manawthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,18.2457067,96.1004931
VCE_00077,XO2020-1-197,RO_2019_197,BB 11,Zabuthiri,Naypyidaw Union Territory,Myanmar,2015.0,Palethwe,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,20.2807085,96.265883
VCE_00079,XO2020-1-199,RO_2019_199,BB 28,Zabuthiri,Naypyidaw Union Territory,Myanmar,2015.0,Hybrid,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,20.2807085,96.265883
VCE_00091,XO2020-1-206,RO_2019_206,BB 190,Hmawbi,Yangon Region,Myanmar,2015.0,Sinthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,16.647565,96.1129218
VCE_00092,XO2020-1-207,RO_2019_207,BB 2,Zabuthiri,Naypyidaw Union Territory,Myanmar,2015.0,PawSan,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,20.2807085,96.265883
VCE_00097,XO2020-1-211,RO_2019_211,BB 139,Myaung Mya,Ayeyarwady Region,Myanmar,2015.0,Hankar,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo7,16.8340079,95.1804705
VCE_00128,XO2020-1-233,RO_2019_233,BB 1,Zabuthiri,Naypyidaw Union Territory,Myanmar,2015.0,Ayeyar Badathar,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,20.2807085,96.265883
VCE_00147,XO2020-1-248,RO_2019_248,BB 105,Taung Ngu,Bago Region,Myanmar,2015.0,Manawthukha,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo7,18.2457067,96.1004931
VCE_00148,XO2020-1-249,RO_2019_249,BB 108,Thayaung Chaung,Ayeyarwady Region,Myanmar,2015.0,Paw San Yin,,,Department of Agricultural Research,Leaf,XO2020-1,Lin_2,AXoo9,16.8340079,95.1804705
