Line,Significance,Cultivar-group,Cultivation status,Elite status,IRBB4,IRBB5,IRBB7,IRBB13,IRBB21,IRBB23,IRBB26,IRBB25,IRBB41
NSIC-Rc222,,Indica,Cultivar,Elite,[+],[+],[-],[-],[-],[-],[+],[-],[-]
IRRI174,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[+],[-]
IR09A225,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR09A228,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PIR-26 CO-2071-1-4-2-1,ICP,indica,Cultivar,Elite,?,[-],[-],[+],[-],[-],?,[-],[-]
PR37541-43-3-2-2-2-1-2-3-B-3-1-1,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR10A135,ICP,indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],[+],[-],[-]
IR11A282,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR11A297,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR11A306,ICP,indica,Cultivar,Elite,?,[-],?,?,?,[-],?,[-],[-]
IR12N165,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR13A107,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR13A514,ICP,indica,Cultivar,Elite,[+],[+],[-],[-],[-],[-],[+],[-],[-]
IR14A216,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR15A2829,ICP,indica,Cultivar,Elite,[+],[+],[-],[-],[-],[-],?,[-],[-]
IR15A2997,ICP,indica,Cultivar,Elite,?,[+],[-],[-],[-],[-],?,[-],[-]
IR16A2834,ICP,indica,Cultivar,Elite,[+],[+],[-],[-],[+],[-],[+],[-],[-]
IR16A2841,ICP,indica,Cultivar,Elite,[+],[+],[-],[-],[+],[-],[+],[-],[-]
IR16A2844,ICP,indica,Cultivar,Elite,[+],[+],[-],[-],[+],[-],[+],[-],[-]
IR16A3652,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR99047-B-B-B-B-47,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR99982-B-B-B-B-1,ICP,indica,Cultivar,Elite,?,[-],[-],[-],[-],[-],?,[-],[-]
IR106432-B-B-B-B-25,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR110615-C1-B-B-B-1-1,ICP,indica,Cultivar,Elite,?,[-],?,[-],[-],[-],[+],[-],[-]
IR122310:7-2-2,ICP,indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR93339:29-B-7-7-B-B-B-16,ICP,indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
Gigante-1,,Indica,Cultivar,QD,?,[-],[-],[-],[-],[-],?,[-],[-]
IR77298-14-1-2-10 IRIS_313-15901,,Indica,Cultivar,QD,?,[-],[-],[-],[-],[-],[+],[-],[-]
IRBB23,,Indica,Cultivar,QD,?,[-],[-],[-],[-],[+],?,[-],[-]
IRBB61,,Indica,Cultivar,QD,?,[+],[+],[-],[-],[-],?,[-],?
TOG5307 IRGC96726-3,RYMV,glaberrima,Landrace,QD,?,[-],?,[-],?,[-],?,[-],[-]
TOG5674 IRGC96790-1,RYMV,glaberrima,Landrace,QD,?,[-],?,[-],?,[-],?,[-],[-]
TOG5681 IRGC96793-1,RYMV,glaberrima,Landrace,QD,?,[-],?,[-],[+],[-],?,[-],[-]
Culture340-2,,Indica,Landrace,QD,?,[-],[-],[-],[-],[-],[+],[-],[-]
Gundang-12-1-5-7,,Indica,Landrace,QD,?,[-],?,[-],[-],[-],[+],[-],[-]
PTB-18 IRIS_313-10523,,Indica,Landrace,QD,?,[-],[-],[-],[-],[-],?,[-],[-]
Riz type sorgho IRIS_313-10035,,Indica,Landrace,QD,?,[-],[-],[-],[-],[-],?,[-],[-]
FanGeng6 IRIS_313-11800,,Japonica,Landrace,QD,?,[-],?,[-],[-],[-],?,[-],[-]
Hokkai188,Blast,japonica,Landrace,QD,?,[-],?,[-],[-],[-],?,[-],[-]
Owarihatamochi-3,pi21,Japonica,Landrace,QD,?,[-],?,[-],[-],[-],?,[-],[-]
Roxani,,Japonica,Landrace,QD,?,[-],?,[-],[-],[-],?,[-],[-]
ZhaoDanAi IRIS_313-11968,Gn1a-5150,Japonica,Landrace,QD,?,[-],[-],[-],[-],[-],?,[-],[-]
DengNyay IRIS_313-12332,LOX3,,Landrace,QD,?,[-],?,[-],[-],[-],?,[-],[-]
IRRI147-23,,Indica,Cultivar,QD,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IR07F287 IRIS_313-15900,,Indica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
PusaBasmati1 CX46,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
IR09N542,,Indica,Cultivar,Elite,[+],[+],[-],[-],[-],[-],[+],[-],[-]
IR04A115,,Indica,Cultivar,Elite,[+],[+],?,[-],[-],[-],[+],[-],[-]
Swarna-Sub1,,Indica,Cultivar,,?,[-],?,[-],[-],[-],?,[-],[-]
BR28-1-3,,Indica,Cultivar,Elite,[+],[-],?,[-],[-],[-],[+],[-],[-]
IR08A176,,Indica,Cultivar,Elite,?,[-],?,[-],[-],[-],?,[-],[-]
IRBB65,,Indica,Cultivar,,?,[-],[+],[+],[+],[-],?,[-],[-]
IR42,,Indica,Cultivar,Elite,[+],?,?,[-],[-],[-],?,[-],[-]
IR42 CX161,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PTB-18 IRIS_313-10523,,Indica,Landrace,QD,?,[-],[-],[-],[-],[-],?,[-],[-]
IRRI174,,Indica,Cultivar,Elite,[+],[-],[-],[-],[-],[-],?,[-],[-]
PSB-Rc10,,Indica,Cultivar,Elite,?,?,[-],[-],[-],[-],?,[-],[-]
SanHuangZhan No. 2,,Indica,Cultivar,,[+],[-],[-],[-],[-],[-],[+],[-],[-]
BG 94-1 CX35,,Indica,Cultivar,,?,[-],[-],[-],?,[-],?,[-],[-]
BR11 CX2,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[-],[-],[-]
IR68552-55-3-2 CX42,,Indica,Cultivar,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Kalin,,Japonica,Landrace,Ghd7-0,?,[-],?,[-],[-],[-],?,[-],[-]
CRdhan405,,Indica,Cultivar,Salinity,[+],[-],?,[-],[-],[-],[+],[-],[-]
IRRI147,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IRRI147-23,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
IRRI171-3,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc86 IRIS_313-10237,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
PSB-Rc88 IRIS_313-10238,,Indica,Cultivar,Salinity,[+],[-],[-],[-],[-],[-],[+],[-],[-]
SR26B IRIS_313-10640,,Indica,Cultivar,Salinity,?,[-],?,[-],[-],[-],[+],[-],[-]
Sadri,,Basmati,Landrace,Salinity,[-],[-],?,[-],[-],[-],[+],[-],[-]
Capsule,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],[+],[-],[-]
Daw Hawm,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],[+],[-],[-]
JumboJet-1,,Indica,Landrace,Salinity,?,[-],[-],[-],[-],[-],?,[-],[-]
NonaBokra IRIS_313-7736,,Indica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
Pokkali 26869,,Indica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
Eratio,,Japonica,Landrace,Salinity,?,[-],?,[-],[-],[-],?,[-],[-]
IR45427-2B-2-2B-1-1 IRIS_313-15899,,Indica,Cultivar,,[+],[-],?,[-],[-],[-],?,[-],[-]
Merle IRIS_313-8215,,Basmati,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
NCS194 IRIS_313-9605,,Indica,Landrace,,?,[-],[-],[-],[-],[-],?,[-],[-]
NCS237 IRIS_313-9492,,Indica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Pradoo-Daeng IRIS_313-11509,,Indica,Landrace,,?,[-],[-],[-],[-],[-],[+],[-],[-]
Sadok IRIS_313-9582,,Indica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Sunar IRIS_313-11011,,Indica,Landrace,,?,[-],?,[-],?,[-],[+],[-],[-]
Tjere-Ener IRIS_313-10819,,Indica,Landrace,,?,[-],?,[-],[-],[-],[+],[-],[-]
Mae-Yeu IRIS_313-9575,,Japonica,Landrace,,?,[-],?,[-],[-],?,?,[-],[-]
SonaPatnai IRIS_313-9120,,Japonica,Landrace,,?,[-],?,[-],[-],[-],?,[-],[-]
Supa-2,,Indica,Cultivar,Premium quality,?,[-],[-],[-],[-],[-],?,[-],[-]
