id,databasecode,samplecode,isolatename,district,province,country,latitude,longitude,year,ricevarsource,ricegrowthstage,percdiseasedleaf,institute,sampletype,runcode,lineage,AxooPopn
1,XO2020-1-25,RO_2019_25,RUACXO-180008,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,NA,NA
2,XO2020-1-27,RO_2019_27,RUACXO-180009,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,NA,NA
3,XO2020-1-35,RO_2019_35,RUACXO-180013,Bati,Takeo,Cambodia,10.935392,104.789883,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,NA,NA
4,XO2020-1-36,RO_2019_36,RUACXO-180013,Bati,Takeo,Cambodia,10.935392,104.789883,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,L2_Unresolved
5,XO2020-1-38,RO_2019_38,RUACXO-180016,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,L2_Unresolved
6,XO2020-1-46,RO_2019_46,RUACXO-180024,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,NA,NA
7,XO2020-1-49,RO_2019_49,RUACXO-180027,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,NA,NA
8,XO2020-1-175,RO_2019_175,Epi19-NSIC Rc216,Los Banos,Laguna,Philippines,14.169648,121.333653,2019,NSIC Rc216,Ripening,EPI19,International Rice Research Institute,Leaf,XO2020-1,Lineage_02,Axoo_05
9,XO2020-1-5,RO_2019_5,CT2-1,Chau Thanh A,Hau Giang,Vietnam,9.798506,105.637952,2018,OM5451,NA,NA,Cuu Long Delta Rice Research Institute,Leaf-FTA,XO2020-1,Lineage_01,Axoo_01
10,XO2020-1-9,RO_2019_9,CT3-1,Chau Thanh A,Hau Giang,Vietnam,9.798506,105.637952,2018,OM5451,NA,NA,Cuu Long Delta Rice Research Institute,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
11,XO2020-1-16,RO_2019_16,VT1-4,Vi Thuy,Hau Giang,Vietnam,9.798506,105.637952,2018,ST24,NA,NA,Cuu Long Delta Rice Research Institute,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
12,XO2020-1-26,RO_2019_26,RUACXO-180008,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
13,XO2020-1-28,RO_2019_28,RUACXO-180009,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
14,XO2020-1-29,RO_2019_29,RUACXO-180010,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
15,XO2020-1-30,RO_2019_30,RUACXO-180010,Peam Ror,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
16,XO2020-1-31,RO_2019_31,RUACXO-180011,Bati,Takeo,Cambodia,10.935392,104.789883,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
17,XO2020-1-32,RO_2019_32,RUACXO-180015,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_07
18,XO2020-1-33,RO_2019_33,RUACXO-180012,Bati,Takeo,Cambodia,10.935392,104.789883,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_01,L1_Unresolved
19,XO2020-1-34,RO_2019_34,RUACXO-180012,Bati,Takeo,Cambodia,10.935392,104.789883,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
20,XO2020-1-39,RO_2019_39,RUACXO-180017,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
21,XO2020-1-40,RO_2019_40,RUACXO-180018,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_01,L1_Unresolved
22,XO2020-1-41,RO_2019_41,RUACXO-180018,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
23,XO2020-1-42,RO_2019_42,RUACXO-180021,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
24,XO2020-1-43,RO_2019_43,RUACXO-180019,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_07
25,XO2020-1-44,RO_2019_44,RUACXO-180022,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
26,XO2020-1-47,RO_2019_47,RUACXO-180025,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_01,L1_Unresolved
27,XO2020-1-48,RO_2019_48,RUACXO-180026,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_01,L1_Unresolved
28,XO2020-1-50,RO_2019_50,RUACXO-180028,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Xoc,Xoc
29,XO2020-1-51,RO_2019_51,RUACXO-180028,Baphnom,Prey Veng,Cambodia,11.36596,105.455728,2018,NA,NA,NA,Royal University of Agriculture,Leaf-FTA,XO2020-1,Lineage_02,Axoo_05
30,XO2020-1-52,RO_2019_52,BLS1873,Los Banos,Laguna,Philippines,14.169648,121.333653,2013,NA,NA,NA,International Rice Research Institute,DNA,XO2020-1,Lineage_02,Axoo_07
