country,variable,perc,Group
Bangladesh,IRBB4,0.253468101,South & East Asia
Bangladesh,IRBB5,0.343165115,South & East Asia
Bangladesh,IRBB7,0.276011992,South & East Asia
Bangladesh,IRBB10,0.047156458,South & East Asia
Bangladesh,IRBB13,0.659775406,South & East Asia
Bangladesh,IRBB14,0.188686454,South & East Asia
Bangladesh,IRBB21,0.647608585,South & East Asia
Burkina Faso,IRBB4,0.374603175,Africa
Burkina Faso,IRBB5,0.53968254,Africa
Burkina Faso,IRBB7,0.376961707,Africa
Burkina Faso,IRBB10,0.278248588,Africa
Burkina Faso,IRBB13,0.613308223,Africa
Burkina Faso,IRBB14,0.329166667,Africa
Burkina Faso,IRBB21,0.875706215,Africa
Burundi,IRBB4,0.369415531,Africa
Burundi,IRBB5,0.649152271,Africa
Burundi,IRBB7,0.385076149,Africa
Burundi,IRBB10,0.217535982,Africa
Burundi,IRBB13,0.377409797,Africa
Burundi,IRBB14,0.339758239,Africa
Burundi,IRBB21,0.555603136,Africa
Cambodia,IRBB4,0.437806435,Southeast Asia
Cambodia,IRBB5,0.885014417,Southeast Asia
Cambodia,IRBB7,0.54559881,Southeast Asia
Cambodia,IRBB10,0.125760327,Southeast Asia
Cambodia,IRBB13,0.151316479,Southeast Asia
Cambodia,IRBB14,0.27537613,Southeast Asia
Cambodia,IRBB21,0.714431536,Southeast Asia
India,IRBB4,0.345469188,South & East Asia
India,IRBB5,0.495244965,South & East Asia
India,IRBB7,0.337587393,South & East Asia
India,IRBB10,0.185759144,South & East Asia
India,IRBB13,0.593394236,South & East Asia
India,IRBB14,0.313011389,South & East Asia
India,IRBB21,0.617368818,South & East Asia
Indonesia,IRBB4,0.391475114,Southeast Asia
Indonesia,IRBB5,0.768589014,Southeast Asia
Indonesia,IRBB7,0.492542136,Southeast Asia
Indonesia,IRBB10,0.146702433,Southeast Asia
Indonesia,IRBB13,0.267648847,Southeast Asia
Indonesia,IRBB14,0.23978509,Southeast Asia
Indonesia,IRBB21,0.756473046,Southeast Asia
Kenya,IRBB4,0.189914966,Africa
Kenya,IRBB5,0.446360544,Africa
Kenya,IRBB7,0.123475921,Africa
Kenya,IRBB10,0.086291364,Africa
Kenya,IRBB13,0.504597794,Africa
Kenya,IRBB14,0.360068681,Africa
Kenya,IRBB21,0.286698951,Africa
Madagascar,IRBB4,0.266911765,Africa
Madagascar,IRBB5,0.410784314,Africa
Madagascar,IRBB7,0.210532292,Africa
Madagascar,IRBB10,0.11730226,Africa
Madagascar,IRBB13,0.662933422,Africa
Madagascar,IRBB14,0.340813537,Africa
Madagascar,IRBB21,0.556713194,Africa
Malaysia,IRBB4,0.659574468,Southeast Asia
Malaysia,IRBB5,0.989361702,Southeast Asia
Malaysia,IRBB7,0.875,Southeast Asia
Malaysia,IRBB10,0,Southeast Asia
Malaysia,IRBB13,0,Southeast Asia
Malaysia,IRBB14,0.290697674,Southeast Asia
Malaysia,IRBB21,0.9,Southeast Asia
Mali,IRBB4,0.561904762,Africa
Mali,IRBB5,0.80952381,Africa
Mali,IRBB7,0.565442561,Africa
Mali,IRBB10,0.417372881,Africa
Mali,IRBB13,0.419962335,Africa
Mali,IRBB14,0.49375,Africa
Mali,IRBB21,0.813559322,Africa
Myanmar,IRBB4,0.325886915,Southeast Asia
Myanmar,IRBB5,0.594517982,Southeast Asia
Myanmar,IRBB7,0.381147256,Southeast Asia
Myanmar,IRBB10,0.10659988,Southeast Asia
Myanmar,IRBB13,0.406634196,Southeast Asia
Myanmar,IRBB14,0.204100732,Southeast Asia
Myanmar,IRBB21,0.635028347,Southeast Asia
Pakistan,IRBB4,0.283327961,South & East Asia
Pakistan,IRBB5,0.335055792,South & East Asia
Pakistan,IRBB7,0.212564309,South & East Asia
Pakistan,IRBB10,0.077880942,South & East Asia
Pakistan,IRBB13,0.770198714,South & East Asia
Pakistan,IRBB14,0.317281604,South & East Asia
Pakistan,IRBB21,0.565288712,South & East Asia
Philippines,IRBB4,0.420909633,Southeast Asia
Philippines,IRBB5,0.805517625,Southeast Asia
Philippines,IRBB7,0.50101398,Southeast Asia
Philippines,IRBB10,0.153421097,Southeast Asia
Philippines,IRBB13,0.245720461,Southeast Asia
Philippines,IRBB14,0.267824612,Southeast Asia
Philippines,IRBB21,0.720698779,Southeast Asia
Tanzania,IRBB4,0.159450671,Africa
Tanzania,IRBB5,0.512967687,Africa
Tanzania,IRBB7,0.049818962,Africa
Tanzania,IRBB10,0.036912763,Africa
Tanzania,IRBB13,0.423505913,Africa
Tanzania,IRBB14,0.447389866,Africa
Tanzania,IRBB21,0.211803874,Africa
Uganda,IRBB4,0.462621779,Africa
Uganda,IRBB5,0.653685413,Africa
Uganda,IRBB7,0.339448875,Africa
Uganda,IRBB10,0.211965977,Africa
Uganda,IRBB13,0.400611076,Africa
Uganda,IRBB14,0.405445758,Africa
Uganda,IRBB21,0.546160444,Africa
Vietnam,IRBB4,0.338006644,Southeast Asia
Vietnam,IRBB5,0.696973762,Southeast Asia
Vietnam,IRBB7,0.441804344,Southeast Asia
Vietnam,IRBB10,0.084168211,Southeast Asia
Vietnam,IRBB13,0.313506179,Southeast Asia
Vietnam,IRBB14,0.165878032,Southeast Asia
Vietnam,IRBB21,0.80878899,Southeast Asia
