district,province,country,latitude,longitude
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Bati,Takeo,Cambodia,10.93539205,104.789883
Bati,Takeo,Cambodia,10.93539205,104.789883
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Chau Thanh A,Hau Giang,Vietnam,9.7985063,105.6379524
Chau Thanh A,Hau Giang,Vietnam,9.7985063,105.6379524
Vi Thuy,Hau Giang,Vietnam,9.7985063,105.6379524
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Peam Ror,Prey Veng,Cambodia,11.3659597,105.4557277
Bati,Takeo,Cambodia,10.93539205,104.789883
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Bati,Takeo,Cambodia,10.93539205,104.789883
Bati,Takeo,Cambodia,10.93539205,104.789883
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Baphnom,Prey Veng,Cambodia,11.3659597,105.4557277
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
Los Banos,Laguna,Philippines,14.1696476,121.3336526
