ID,DatabaseCode,Country,Lineage,Population,Is.replicated
1,XO2020-1-1,Vietnam,Lineage_03,Axoo_11,YES
2,XO2020-1-1,Vietnam,Lineage_03,Axoo_12,YES
3,XO2020-1-10,Vietnam,Lineage_02,Axoo_05,NO
4,XO2020-1-105,Philippines,Lineage_02,Axoo_05,YES
5,XO2020-1-105,Philippines,Lineage_02,Axoo_07,YES
6,XO2020-1-105,Philippines,Lineage_02,Axoo_09,YES
7,XO2020-1-106,Philippines,Lineage_02,Axoo_05,YES
8,XO2020-1-106,Philippines,Lineage_02,Axoo_07,YES
9,XO2020-1-107,Philippines,Lineage_02,Axoo_05,YES
10,XO2020-1-107,Philippines,Lineage_02,Axoo_06,YES
11,XO2020-1-108,Philippines,Lineage_02,Axoo_05,YES
12,XO2020-1-108,Philippines,Lineage_02,Axoo_06,YES
13,XO2020-1-108,Philippines,Lineage_02,Axoo_09,YES
14,XO2020-1-109,Philippines,Lineage_02,Axoo_05,YES
15,XO2020-1-109,Philippines,Lineage_02,Axoo_07,YES
16,XO2020-1-11,Vietnam,Lineage_01,Unresolved,NO
17,XO2020-1-112,Philippines,Lineage_02,Axoo_05,YES
18,XO2020-1-112,Philippines,Lineage_02,Axoo_09,YES
19,XO2020-1-113,Philippines,Lineage_02,Axoo_05,YES
20,XO2020-1-113,Philippines,Lineage_02,Axoo_06,YES
21,XO2020-1-113,Philippines,Lineage_02,Axoo_09,YES
22,XO2020-1-116,Philippines,Lineage_02,Axoo_05,NO
23,XO2020-1-12,Vietnam,Lineage_03,Axoo_12,NO
24,XO2020-1-120,Philippines,Lineage_02,Axoo_05,YES
25,XO2020-1-120,Philippines,Lineage_02,Axoo_07,YES
26,XO2020-1-120,Philippines,Lineage_02,Axoo_09,YES
27,XO2020-1-121,Philippines,Lineage_02,Axoo_05,YES
28,XO2020-1-121,Philippines,Lineage_02,Axoo_06,YES
29,XO2020-1-121,Philippines,Lineage_02,Axoo_09,YES
30,XO2020-1-122,Philippines,Lineage_01,Unresolved,NO
31,XO2020-1-125,Philippines,NA,NA,NO
32,XO2020-1-13,Vietnam,Lineage_03,Axoo_12,NO
33,XO2020-1-136,Philippines,Lineage_02,Axoo_05,YES
34,XO2020-1-136,Philippines,Lineage_02,Axoo_07,YES
35,XO2020-1-137,Philippines,Lineage_02,Axoo_05,YES
36,XO2020-1-137,Philippines,Lineage_02,Axoo_09,YES
37,XO2020-1-138,Philippines,Lineage_02,Axoo_07,NO
38,XO2020-1-139,Philippines,Lineage_02,Axoo_05,YES
39,XO2020-1-139,Philippines,Lineage_02,Axoo_09,YES
40,XO2020-1-14,Vietnam,Lineage_01,Axoo_01,YES
41,XO2020-1-14,Vietnam,Lineage_02,Axoo_05,YES
42,XO2020-1-14,Vietnam,Lineage_02,Axoo_09,YES
43,XO2020-1-140,Philippines,Lineage_02,Axoo_05,NO
44,XO2020-1-143,Philippines,Lineage_02,Axoo_05,YES
45,XO2020-1-143,Philippines,Lineage_02,Axoo_07,YES
46,XO2020-1-144,Philippines,Lineage_01,Unresolved,YES
47,XO2020-1-144,Philippines,Xoc,Xoc,YES
48,XO2020-1-147,Philippines,Lineage_02,Axoo_06,NO
49,XO2020-1-15,Vietnam,Lineage_02,Axoo_07,YES
50,XO2020-1-15,Vietnam,Lineage_03,Axoo_12,YES
51,XO2020-1-151,Philippines,Lineage_02,Axoo_05,YES
52,XO2020-1-151,Philippines,Lineage_02,Axoo_09,YES
53,XO2020-1-152,Philippines,Lineage_02,Axoo_05,YES
54,XO2020-1-152,Philippines,Lineage_02,Axoo_07,YES
55,XO2020-1-153,Philippines,Lineage_02,Axoo_05,YES
56,XO2020-1-153,Philippines,Lineage_02,Axoo_09,YES
57,XO2020-1-156,Philippines,NA,NA,NO
58,XO2020-1-16,Vietnam,Lineage_02,Axoo_05,YES
59,XO2020-1-16,Vietnam,Lineage_02,Axoo_07,YES
60,XO2020-1-16,Vietnam,Lineage_02,Axoo_09,YES
61,XO2020-1-167,Philippines,Lineage_02,Axoo_05,YES
62,XO2020-1-167,Philippines,Lineage_02,Axoo_07,YES
63,XO2020-1-168,Philippines,Lineage_02,Axoo_07,YES
64,XO2020-1-168,Philippines,Lineage_02,Axoo_09,YES
65,XO2020-1-169,Philippines,Lineage_02,Axoo_05,NO
66,XO2020-1-17,Vietnam,Lineage_03,Axoo_12,NO
67,XO2020-1-170,Philippines,Lineage_02,Axoo_09,YES
68,XO2020-1-170,Philippines,Xoc,Xoc,YES
69,XO2020-1-171,Philippines,Lineage_01,Unresolved,YES
70,XO2020-1-171,Philippines,Lineage_02,Unresolved,YES
71,XO2020-1-174,Philippines,Lineage_02,Axoo_07,YES
72,XO2020-1-174,Philippines,Xoc,Xoc,YES
73,XO2020-1-175,Philippines,Lineage_02,Axoo_05,NO
74,XO2020-1-178,Philippines,Lineage_01,Axoo_02,YES
75,XO2020-1-178,Philippines,Lineage_02,Axoo_09,YES
76,XO2020-1-18,Vietnam,Lineage_03,Axoo_12,NO
77,XO2020-1-182,Philippines,Lineage_01,Unresolved,YES
78,XO2020-1-182,Philippines,Xoc,Xoc,YES
79,XO2020-1-183,Philippines,Lineage_02,Axoo_05,YES
80,XO2020-1-183,Philippines,Lineage_02,Axoo_09,YES
81,XO2020-1-184,Philippines,Lineage_01,Axoo_01,NO
82,XO2020-1-187,Philippines,Lineage_02,Axoo_05,YES
83,XO2020-1-187,Philippines,Lineage_02,Axoo_06,YES
84,XO2020-1-187,Philippines,Lineage_03,Axoo_12,YES
85,XO2020-1-189,Myanmar,Lineage_02,Axoo_09,NO
