country,Rgene,Value
Bangladesh,xa13,18.82057716
Bangladesh,Xa21,45.29485571
Bangladesh,Xa4,9.410288582
Bangladesh,xa5,26.47427854
Bangladesh,Xa7,0
Burundi,xa13,35.71428571
Burundi,Xa21,39.17050691
Burundi,Xa4,0
Burundi,xa5,15.43778802
Burundi,Xa7,9.677419355
Cambodia,xa13,4.166666667
Cambodia,Xa21,33.15217391
Cambodia,Xa4,1.992753623
Cambodia,xa5,32.06521739
Cambodia,Xa7,28.62318841
India,xa13,15.57894737
India,Xa21,46.52631579
India,Xa4,1.473684211
India,xa5,32
India,Xa7,4.421052632
Indonesia,xa13,11.17647059
Indonesia,Xa21,35.70588235
Indonesia,Xa4,0.294117647
Indonesia,xa5,27
Indonesia,Xa7,25.82352941
Kenya,xa13,54.40414508
Kenya,Xa21,39.89637306
Kenya,Xa4,0
Kenya,xa5,5.699481865
Kenya,Xa7,0
Madagascar,xa13,21.78217822
Madagascar,Xa21,46.53465347
Madagascar,Xa4,0
Madagascar,xa5,31.68316832
Madagascar,Xa7,0
Malaysia,xa13,0
Malaysia,Xa21,33.33333333
Malaysia,Xa4,33.33333333
Malaysia,xa5,33.33333333
Malaysia,Xa7,0
Myanmar,xa13,14.02298851
Myanmar,Xa21,40
Myanmar,Xa4,0.689655172
Myanmar,xa5,26.89655172
Myanmar,Xa7,18.3908046
Pakistan,xa13,2.676864245
Pakistan,Xa21,49.33078394
Pakistan,Xa4,0.382409178
Pakistan,xa5,47.41873805
Pakistan,Xa7,0.191204589
Philippines,xa13,6.141684403
Philippines,Xa21,34.05290362
Philippines,Xa4,1.185770751
Philippines,xa5,30.64761326
Philippines,Xa7,27.97202797
Tanzania,xa13,65.56503198
Tanzania,Xa21,34.00852878
Tanzania,Xa4,0.213219616
Tanzania,xa5,0.213219616
Tanzania,Xa7,0
Uganda,xa13,37.93103448
Uganda,Xa21,37.93103448
Uganda,Xa4,0
Uganda,xa5,24.13793103
Uganda,Xa7,0
Vietnam,xa13,12.24268689
Vietnam,Xa21,37.05308776
Vietnam,Xa4,0.108342362
Vietnam,xa5,25.5687974
Vietnam,Xa7,25.02708559
